ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003462,JA331640,7/2/2017 15:00,016XX W CONGRESS PKWY,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,TRUE,FALSE,1231,12,2,28,18,1165641,1897804,2017,7/9/2017 15:51,41.8751653,-87.66729708,"(41.875165303, -87.667297083)"
11003447,JA331642,7/2/2017 15:29,031XX W PALMER BLVD,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1414,14,35,22,08A,1154904,1914305,2017,7/9/2017 15:51,41.92066744,-87.70627632,"(41.920667441, -87.706276321)"
11003444,JA331543,7/2/2017 12:37,102XX S VERNON AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,TRUE,FALSE,511,5,9,49,26,1181055,1837069,2017,7/9/2017 15:51,41.70816082,-87.61257323,"(41.708160824, -87.612573228)"
11003443,JA331575,7/2/2017 14:00,052XX W CRYSTAL ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,2532,25,37,25,15,1141137,1907822,2017,7/9/2017 15:51,41.90314246,-87.75701974,"(41.903142462, -87.75701974)"
11003442,JA331522,7/2/2017 13:59,049XX W ADAMS ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1533,15,28,25,04B,1143545,1898879,2017,7/9/2017 15:51,41.87855709,-87.7483985,"(41.878557088, -87.748398495)"
11003431,JA331594,7/2/2017 14:40,054XX S WINCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,932,9,16,61,08B,1164281,1868574,2017,7/9/2017 15:51,41.79498398,-87.67311532,"(41.794983976, -87.673115316)"
11003429,JA331542,7/2/2017 12:25,046XX S INDIANA AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,TRUE,FALSE,215,2,3,38,24,1178380,1874302,2017,7/9/2017 15:51,41.81039336,-87.6212405,"(41.810393359, -87.621240504)"
11003428,JA331540,7/2/2017 14:10,051XX S CHRISTIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,822,8,14,63,04B,1154910,1870446,2017,7/9/2017 15:51,41.80031336,-87.70742907,"(41.800313362, -87.707429067)"
11003426,JA331483,7/2/2017 12:08,0000X W 103RD ST,1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,SIDEWALK,TRUE,FALSE,511,5,9,49,20,1177986,1836679,2017,7/9/2017 15:51,41.70716055,-87.62382378,"(41.707160552, -87.623823775)"
11003425,JA331577,7/2/2017 14:39,026XX W 63RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,825,8,15,66,08B,1160016,1862783,2017,7/9/2017 15:51,41.7791815,-87.68891432,"(41.779181502, -87.688914319)"
11003424,JA331619,7/2/2017 15:01,022XX S CENTRAL PARK AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1013,10,22,30,18,1152714,1889062,2017,7/9/2017 15:51,41.85144172,-87.71499119,"(41.851441718, -87.714991191)"
11003416,JA331520,7/2/2017 12:42,004XX E 103RD ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,TRUE,FALSE,512,5,9,49,11,1180862,1836762,2017,7/9/2017 15:51,41.70732281,-87.6132894,"(41.707322807, -87.613289399)"
11003392,JA331443,7/2/2017 12:14,051XX S CALUMET AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,231,2,3,40,3,1179362,1871109,2017,7/9/2017 15:51,41.80160911,-87.61773619,"(41.801609105, -87.617736187)"
11003381,JA331501,7/2/2017 12:42,125XX S MICHIGAN AVE,5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,STREET,TRUE,FALSE,532,5,9,53,26,1179150,1821333,2017,7/9/2017 15:51,41.6650225,-87.62002654,"(41.665022497, -87.620026542)"
11004330,JA332343,7/1/2017 9:00,028XX N PULASKI RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2523,25,31,21,7,1149239,1918396,2017,7/8/2017 15:49,41.93200529,-87.72698456,"(41.932005294, -87.726984558)"
11004276,JA332619,7/1/2017 4:00,027XX W WASHINGTON BLVD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1222,12,2,27,08B,1158197,1900572,2017,7/8/2017 15:49,41.88291622,-87.69455284,"(41.882916217, -87.694552843)"
11004257,JA332611,7/1/2017 10:00,027XX N LAMON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2521,25,31,19,7,1143249,1917745,2017,7/8/2017 15:49,41.93033302,-87.7490135,"(41.930333022, -87.749013501)"
11004254,JA332567,7/1/2017 20:00,031XX W 111TH ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,2211,22,19,74,6,1157206,1830838,2017,7/8/2017 15:49,41.69157641,-87.70007784,"(41.691576411, -87.700077844)"
11004230,JA332562,7/1/2017 23:00,017XX N AUSTIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2531,25,29,25,14,1136131,1911180,2017,7/8/2017 15:49,41.91244804,-87.77532784,"(41.912448039, -87.77532784)"
11004218,JA332542,7/1/2017 12:00,006XX N LECLAIRE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1532,15,28,25,6,1142249,1903688,2017,7/8/2017 15:49,41.89177771,-87.7530378,"(41.891777712, -87.753037795)"
11004043,JA332339,7/1/2017 11:00,046XX W JACKSON BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1131,11,24,25,7,1145393,1898284,2017,7/8/2017 15:49,41.87688958,-87.74162801,"(41.876889575, -87.741628007)"
11003999,JA332301,7/1/2017 3:30,004XX N DEARBORN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1831,18,42,8,14,1175867,1903086,2017,7/8/2017 15:49,41.88943553,-87.62959262,"(41.889435529, -87.629592618)"
11003929,JA332264,7/1/2017 18:00,069XX S ANTHONY AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,322,3,6,69,6,1181012,1858990,2017,7/8/2017 15:49,41.76831558,-87.6120579,"(41.768315582, -87.612057903)"
11003806,JA330956,7/1/2017 0:10,029XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,133,1,2,35,08B,1179288,1885690,2017,7/8/2017 15:49,41.84162222,-87.6175621,"(41.841622217, -87.617562101)"
11003662,JA331592,7/1/2017 20:30,054XX N MEADE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1622,16,45,11,14,1134457,1935615,2017,7/8/2017 15:49,41.97953,-87.78089921,"(41.979530003, -87.780899211)"
11003629,JA331320,7/1/2017 15:30,014XX N Milwaukee Ave,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1163646,1909878,2017,7/8/2017 15:49,41.90833955,-87.67428141,"(41.908339553, -87.674281405)"
11003564,JA331661,7/1/2017 23:15,094XX S LOOMIS ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,2222,22,21,73,26,1168656,1842070,2017,7/8/2017 15:49,41.72216016,-87.65783533,"(41.722160157, -87.657835334)"
11003547,JA331359,7/1/2017 18:00,075XX S LANGLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,624,6,6,69,14,1182201,1855156,2017,7/8/2017 15:49,41.75776725,-87.60781822,"(41.757767253, -87.607818223)"
11003543,JA331516,7/1/2017 16:00,074XX S UNION AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,732,7,17,68,08A,1172919,1855599,2017,7/8/2017 15:49,41.75919267,-87.64182241,"(41.759192673, -87.641822414)"
11003492,JA331537,7/1/2017 9:00,068XX N RIDGE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2424,24,49,1,14,1161705,1945358,2017,7/8/2017 15:49,42.00573917,-87.68041862,"(42.005739173, -87.680418624)"
11003487,JA331701,7/1/2017 14:00,073XX N CAMPBELL AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2411,24,50,2,6,1158374,1948785,2017,7/8/2017 15:49,42.01521202,-87.69257934,"(42.015212021, -87.692579338)"
11003470,JA331631,7/1/2017 21:00,032XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,211,2,3,35,14,1176864,1883625,2017,7/8/2017 15:49,41.83601079,-87.62651966,"(41.836010789, -87.626519656)"
11003454,JA331481,7/1/2017 14:30,056XX W LAKE ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,FALSE,FALSE,1512,15,29,25,11,1138882,1902191,2017,7/8/2017 15:49,41.88773158,-87.76543984,"(41.887731576, -87.765439838)"
11003422,JA331418,7/1/2017 19:00,030XX S MILLARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,1032,10,22,30,08B,1152520,1884093,2017,7/8/2017 15:49,41.83781,-87.71583435,"(41.837810001, -87.715834351)"
11003396,JA331217,7/1/2017 20:00,036XX W ARGYLE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1712,17,39,14,6,1151011,1932973,2017,7/8/2017 15:49,41.97197109,-87.72008936,"(41.971971087, -87.720089358)"
11003384,JA331521,7/1/2017 23:00,029XX W 60TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,823,8,15,66,6,1157620,1864710,2017,7/8/2017 15:49,41.7845184,-87.69764613,"(41.784518403, -87.697646133)"
