ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003088,JA331092,7/2/2017 2:00,004XX E 134TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,533,5,9,54,14,1181713,1816558,2017,7/9/2017 15:51,41.65186057,-87.61079352,"(41.651860571, -87.610793516)"
11003087,JA331101,7/2/2017 3:45,045XX W JACKSON BLVD,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1131,11,24,26,04B,1146155,1898302,2017,7/9/2017 15:51,41.87692452,-87.73882969,"(41.876924519, -87.738829686)"
11003086,JA331087,7/2/2017 1:15,047XX W JACKSON BLVD,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1131,11,24,25,3,1144853,1898271,2017,7/9/2017 15:51,41.8768641,-87.74361107,"(41.8768641, -87.743611074)"
11003085,JA331131,7/2/2017 4:45,043XX W VAN BUREN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,FALSE,1131,11,24,26,04A,1147605,1897672,2017,7/9/2017 15:51,41.87516804,-87.73352183,"(41.875168041, -87.733521834)"
11003084,JA331117,7/2/2017 3:41,030XX W ROOSEVELT RD,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1022,10,24,29,04B,1156460,1894559,2017,7/9/2017 15:51,41.86645124,-87.70109384,"(41.86645124, -87.701093842)"
11003082,JA331122,7/2/2017 4:18,026XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,1031,10,22,30,08B,1150134,1886250,2017,7/9/2017 15:51,41.84377583,-87.72453365,"(41.843775825, -87.724533651)"
11003079,JA331137,7/2/2017 4:30,005XX W KINZIE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,FALSE,FALSE,1214,12,42,24,11,1173024,1902922,2017,7/9/2017 15:51,41.88904901,-87.64003806,"(41.889049011, -87.640038063)"
11003078,JA331130,7/2/2017 4:25,019XX W ERIE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1221,12,1,24,3,1163339,1904357,2017,7/9/2017 15:51,41.89319598,-87.67556467,"(41.893195984, -87.675564671)"
11003076,JA331011,7/2/2017 1:18,043XX S WOOD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,924,9,12,61,08B,1165073,1875977,2017,7/9/2017 15:51,41.81528195,-87.67000153,"(41.81528195, -87.670001531)"
11003071,JA330935,7/2/2017 0:06,031XX W 40TH ST,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE-GARAGE,FALSE,FALSE,921,9,14,58,3,1156050,1877926,2017,7/9/2017 15:51,41.82081662,-87.70304712,"(41.820816621, -87.703047116)"
11003069,JA330989,7/2/2017 0:00,050XX S TALMAN AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,923,9,14,63,3,1159554,1871247,2017,7/9/2017 15:51,41.80241735,-87.69037601,"(41.802417354, -87.690376007)"
11003067,JA330963,7/2/2017 0:02,037XX S WOOD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,912,9,11,59,08B,1164965,1879876,2017,7/9/2017 15:51,41.82598352,-87.67028733,"(41.825983523, -87.670287326)"
11003066,JA331138,7/2/2017 2:00,013XX N ELSTON AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1433,14,32,24,6,1167640,1908904,2017,7/9/2017 15:51,41.90558169,-87.65963761,"(41.90558169, -87.659637609)"
11003065,JA331041,7/2/2017 1:55,111XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,2233,22,34,49,15,1172970,1830969,2017,7/9/2017 15:51,41.69160339,-87.64236007,"(41.691603385, -87.642360071)"
11003064,JA331115,7/2/2017 4:06,051XX S UNION AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,TRUE,TRUE,935,9,3,61,26,1172508,1870819,2017,7/9/2017 15:51,41.80096715,-87.64288082,"(41.800967148, -87.642880822)"
11003062,JA331120,7/2/2017 3:45,070XX S MERRILL AVE,820,THEFT,$500 AND UNDER,APARTMENT,TRUE,TRUE,331,3,5,43,6,1191765,1858585,2017,7/9/2017 15:51,41.76695002,-87.57265675,"(41.766950022, -87.57265675)"
11003061,JA331110,7/2/2017 4:14,005XX N SAWYER AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1121,11,27,23,04B,1154614,1903432,2017,7/9/2017 15:51,41.89083677,-87.70763325,"(41.89083677, -87.707633248)"
11003059,JA331010,7/2/2017 0:40,015XX N LECLAIRE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2533,25,37,25,15,1142091,1909795,2017,7/9/2017 15:51,41.90853896,-87.75346647,"(41.908538956, -87.753466469)"
11003057,JA331102,7/2/2017 3:24,087XX S EXCHANGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,TRUE,FALSE,423,4,10,46,15,1197280,1847686,2017,7/9/2017 15:51,41.73690676,-87.55280491,"(41.736906763, -87.55280491)"
11003056,JA331016,7/2/2017 1:40,002XX W ONTARIO ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1174473,1904439,2017,7/9/2017 15:51,41.8931795,-87.63467145,"(41.893179495, -87.634671454)"
11003055,JA331006,7/2/2017 1:15,0000X N CALIFORNIA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1222,12,2,27,04B,1157726,1900041,2017,7/9/2017 15:51,41.88146871,-87.69629685,"(41.88146871, -87.696296853)"
11003054,JA331070,7/2/2017 2:42,090XX S DAUPHIN AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,FALSE,FALSE,633,6,8,44,3,1183685,1845074,2017,7/9/2017 15:51,41.73006669,-87.60269333,"(41.730066689, -87.602693329)"
11003052,JA331048,7/2/2017 2:10,081XX S INGLESIDE AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,FALSE,FALSE,631,6,8,44,3,1183980,1851194,2017,7/9/2017 15:51,41.74685376,-87.601422,"(41.746853762, -87.601421999)"
11003051,JA331068,7/2/2017 3:00,015XX N MILWAUKEE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1424,14,1,24,3,1162971,1910447,2017,7/9/2017 15:51,41.90991513,-87.67674501,"(41.909915134, -87.676745013)"
11003047,JA331072,7/2/2017 2:39,013XX W 18TH ST,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,1233,12,25,31,08B,1167943,1891534,2017,7/9/2017 15:51,41.85791058,-87.65902593,"(41.857910581, -87.659025927)"
11003045,JA331077,7/2/2017 2:50,015XX N DAMEN AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1424,14,1,24,3,1162794,1909952,2017,7/9/2017 15:51,41.90856054,-87.67740914,"(41.908560535, -87.677409143)"
11003043,JA331093,7/2/2017 2:10,100XX S HALSTED ST,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,HOTEL/MOTEL,FALSE,FALSE,2232,22,34,73,20,1172749,1838296,2017,7/9/2017 15:51,41.71171465,-87.64295414,"(41.711714647, -87.642954141)"
11003042,JA331038,7/2/2017 1:45,073XX S JEFFERY BLVD,031A,ROBBERY,ARMED: HANDGUN,OTHER,FALSE,FALSE,333,3,5,43,3,1190812,1856743,2017,7/9/2017 15:51,41.7619185,-87.57620925,"(41.7619185, -87.576209245)"
11003041,JA331069,7/2/2017 2:22,020XX W JARVIS AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,TRUE,FALSE,2424,24,49,1,04A,1161108,1948779,2017,7/9/2017 15:51,42.01513896,-87.68251936,"(42.015138958, -87.682519359)"
11003040,JA331107,7/2/2017 3:44,031XX N CLARK ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,1933,19,44,6,24,1170116,1921226,2017,7/9/2017 15:51,41.93934016,-87.65018189,"(41.939340155, -87.650181885)"
